group_id,count,project_bucket,topic_bucket,type_bucket,suggestion,sample_title,ids
G011,2,MoSim/quadrotor,Docs/workflow/skills,Review/test/quality,建议保留归档：MoSim 历史证据，默认不恢复前台,Role: ExternalDocsContinuousLearningAuditor. Work only inside /mnt/c/Users/HP/Desktop/MoSim. Read-only. Objective: audit current project docs/workflows for how external docs/skills,019e4a2b-d2d7-77d2-a2cc-25e1a9e8f6eb 019e49b9-46f4-7750-97ab-34b400fcd1d2
G012,2,MoSim/quadrotor,Session memory/backlog,Git/integration,建议保留归档：MoSim 历史证据，默认不恢复前台,操作权限仅限 C:\Users\HP\Desktop\Quadrotor。你是 SessionBacklogAuditor-PM。只读任务，不要修改文件。读取 `results/tmp/session_audit_20260521/user_messages_20260521.md` 中从 16:00 到当前的 2026-05-21 用户消息，并结合 `/h,019e49ca-4845-79a1-87cc-28464905a2e5 019e49c9-6ffb-7b40-823b-94d8f8a31a6d
G013,1,MoSim/quadrotor,Cosys-AirSim build/smoke,UE/Fab/scene/rendering,建议保留归档：MoSim 历史证据，默认不恢复前台,操作权限仅限 C:\Users\HP\Desktop\Quadrotor。你是 SessionBacklogAuditor-0520-EVE，必须使用 gpt-5.5 high。本任务只读，不要修改文件。读取 `results/tmp/session_audit_20260520/user_messages_20260520.md` 中北京时间 2026-0,019e49cf-81ac-7a43-9d20-b09e3eddd313
G014,1,MoSim/quadrotor,Docs/workflow/skills,MCP/MWORKS,人工复核：小组，按标题判断,"在 /mnt/c/Users/HP/Desktop/MoSim 中只读分析 References/Agent 的安全、SDK、skills/MCP、模型官方参考类项目：AI-Infra-Guard, AiSOC, Decepticon, LitterBox, agentic_security, pentestagent, promptfoo, redamon",019e67d5-006b-74a0-93e2-09f825ab77f2
G015,1,MoSim/quadrotor,"Nested spawn capability test. Do not read,",Git/integration,建议保留归档：MoSim 历史证据，默认不恢复前台,"Nested spawn capability test. Do not read, write, modify, delete, move, or inspect any files. Do not run Git. Do not access any project-external path. Do not use tools unless stric",019e4b34-31da-7ce2-97a8-510a1d0b9fcc
G016,1,MoSim/quadrotor,RflySim/Gazebo/reference,Git/integration,建议保留归档：MoSim 历史证据，默认不恢复前台,You are ParameterCodeAuditor. Scope strictly /mnt/c/Users/HP/Desktop/MoSim. Read-only only. Task: audit references/Data for quadrotor/PX4 parameter identification code. Focus on wh,019e4f01-4fd4-7671-9631-d4dae77483d3
G017,1,MoSim/quadrotor,RflySim/Gazebo/reference,UE/Fab/scene/rendering,建议保留归档：MoSim 历史证据，默认不恢复前台,操作权限仅限 /mnt/c/Users/HP/Desktop/MoSim。外部只读路径允许：/mnt/d/PX4PSP。你是 RflySim 架构调研子 agent。请只读本地 RflySim 安装资料和代码，不要修改文件，不要 Git。重点查看 /mnt/d/PX4PSP/RflySimAPIs/readme.txt、RflySimSDK/ue/UE4Ct,019e42e4-af67-79e1-8556-b07c97979305
G018,1,MoSim/quadrotor,Security/review/audit,Git/integration,建议保留归档：MoSim 历史证据，默认不恢复前台,操作权限仅限 C:\Users\HP\Desktop\Quadrotor。只读调研，不写文件不git。范围：references/Lab/ego-planner、references/Lab/EGO-Planner-v2、references/Lab/ego-planner-swarm、references/Lab/GCOPTER、references/La,019e4588-231a-7532-a2be-5f7637f384f1
G019,1,MoSim/quadrotor,Security/review/audit,Review/test/quality,建议保留归档：MoSim 历史证据，默认不恢复前台,只读测试任务：确认你能启动，并简要说明你收到的工作目录/项目上下文。不要修改文件，不要运行破坏性命令。,019e3dca-ebfa-71b1-9172-74ec1ce1c73b
G020,1,MoSim/quadrotor,嵌套子 agent 能力测试。不要修改任何文件，不要运行 Git，不要访问项目外路径,Git/integration,建议保留归档：MoSim 历史证据，默认不恢复前台,嵌套子 agent 能力测试。不要修改任何文件，不要运行 Git，不要访问项目外路径。你的任务：尝试 spawn 一个子 agent（孙子 agent），让它只回复一句 nested_spawn_ok 或 nested_spawn_failed，并让它不要改文件。然后等待它返回，汇报：1) 你是否能调用 spawn_agent；2) 孙子 agent 是否成,019e4b33-e486-77e1-92b3-3bb1ad9b2ff1
G021,22,DH/DHPA,Security/review/audit,Review/test/quality,建议删除/另存：非 MoSim 子任务归档,你是只读代码审计子任务。工作目录主仓库是 /mnt/c/Users/HP/Desktop/DH，外部待迁移项目是 /mnt/e/Signal_processing/GPU_Test（对应 Windows E:\Signal_processing\GPU_Test）。请不要修改文件。任务：审计 GPU_Test 中可迁移到 DH 的 CUDA/cuFFT/FF,019e58bc-6843-7992-8267-2049d45b171e 019e58b1-dcf8-7d71-bf15-5df591c4e3aa 019e587b-43c1-7831-811c-9341d805d0d4 019e584a-a1f0-7a73-951c-29d877843dd1 019e584a-66aa-7a21-b5b5-fd91b6ac5464 019e57d6-edfa-75a1-b3ed-937041f9106a 019e577c-9a65-7423-84f0-a00dc3891dfd 019e577c-6e7f-76e0-ac94-f1f9b4768c2c 019e5769-cc36-7c82-8d2f-3cde49652be1 019e5769-9865-72f0-b432-0eaab627ac6d 019e5769-6b9f-78b1-9afd-34ebe8dec37c 019e572a-ee6e-7c00-9ac6-03c4160bd253 019e56c3-cb6c-7001-85ad-58b224e6883d 019e564a-9132-7c03-af8b-fff1a1d757a6 019e564a-4921-7952-ab06-426f2fba5f91 019e564a-219b-7223-809f-9b2ccad5b2c0 019e5611-a67b-7243-8be5-dbcc8747756e 019e55db-0e86-7482-a7a3-08f9bc40b751 019e558d-4c19-7f02-8df1-470ec66c7675 019e5574-56e3-7870-9ad8-180d174c887c 019e54e9-e98e-77c3-b1ac-a8c04ca6135f 019e5474-a1e7-7e11-94b9-ba78f41efe20
G022,15,DH/DHPA,Docs/workflow/skills,Review/test/quality,建议删除/另存：非 MoSim 子任务归档,你是只读审计子任务。仓库 /mnt/c/Users/HP/Desktop/DH。请审计验收/证据链：audit_realtime_fft_validation.bat、run_realtime_fft_acceptance_matrix.bat、tools/RealtimeSpectrumPerfAudit、tools/RealtimeSpectrumPre,019e58b2-2a44-7f43-a75d-0921eb32b2a0 019e58b2-02bb-7f42-98d1-8b1653f3f445 019e58a2-4c0c-7b01-bd11-7c6056043449 019e587c-001b-7b32-a68a-a44a524d8766 019e587b-bdb4-7ce3-8d48-3d49e0be1bd3 019e56f5-e31b-7580-8d24-c00fdd5e758a 019e56f5-c18d-7792-86c1-2d8bbeef5b83 019e55db-6976-78b3-97bc-ab7993b4ba16 019e55a4-4ab7-7510-9d06-e1efd8df6d62 019e55a4-0e92-76e2-8b02-033ab761c213 019e558d-920e-7b72-8b14-82d0a3c71720 019e5573-6544-7123-8094-f47522ff2fb4 019e54ea-1403-7453-b835-d118b391736e 019e5475-08c5-7da1-977f-2e225c960290 019e5406-2432-7e72-afd8-540c7d749830
G023,9,DH/DHPA,Security/review/audit,Git/integration,建议删除/另存：非 MoSim 子任务归档,你是只读审计 agent。工作区：/mnt/c/Users/HP/Desktop/DH。目标：从 TDMS 存储和实时曲线绘制热路径角度，审计 FFT/GPU/3D 旁路可能导致的回压、掉帧、写盘爆队列风险。重点看 SdkTdmsCaptureWriter、RealtimeAnalysisService、RealtimeSpectrumResultBus、R,019e56d7-7951-7ae0-b437-c5a75f02149d 019e56d7-502e-7151-960b-319088639245 019e56d7-2979-76f1-9145-8fa5f6586b89 019e56a8-86c5-7952-a007-0623a67152ec 019e56a8-5a18-77f3-b3c3-7886f950e927 019e5517-2eea-7ab2-9d2d-ac4ce8cf8f99 019e5508-4657-78f0-b8c9-52bc28d251fb 019e54c2-c377-7ab2-937e-97df3ad9263e 019e54c2-9884-7b01-909e-482f15954c3e
G024,6,DH/DHPA,Security/review/audit,UE/Fab/scene/rendering,建议删除/另存：非 MoSim 子任务归档,你是并行审计子 agent。任务：阅读 /mnt/e/Signal_processing/GPU_Test 的代码，只做只读分析，不修改文件。目标是帮助把该项目的 FFT/GPU 分析和 FFT 后 3D 视图安全迁移到 /mnt/c/Users/HP/Desktop/DH。请输出：1) GPU_Test 中与 FFT/GPU/3D 渲染直接相关的关键文件和,019e572a-bb0e-7df3-803c-23b626f259d7 019e5611-cda8-7a22-bef1-c5e306a77649 019e5573-351d-77e2-ac21-299c80ac053b 019e5428-0286-76b1-8564-53349858cc12 019e5408-119c-7a81-8689-cf7b54bb95a1 019e5407-afc7-7ca1-99ba-78f7dc1096d2
G025,5,DH/DHPA,Security/review/audit,Agent/delegation,建议删除/另存：非 MoSim 子任务归档,你是只读代码审计子任务。工作目录 /mnt/c/Users/HP/Desktop/DH。请不要修改文件。任务：审计 DH 当前 FFT/GPU/3D 旁路实现，重点回答：1) SDK raw block 到 FFT analysis 的数据路径是什么；2) 当前是否仍做 interleaved -> channel-major 拷贝；3) CUDA engi,019e58bc-a504-74d1-aa84-030a9790e094 019e55db-3b3a-78c0-80bb-c0c69ebd0d2f 019e54e9-b124-7441-820e-1b7811ac7722 019e5474-db0b-76e2-958b-eecd6a7a9157 019e5407-e419-7d11-a97a-607688dbfc11
G026,4,DH/DHPA,Docs/workflow/skills,Git/integration,建议删除/另存：非 MoSim 子任务归档,你负责做只读验证，不要修改任何文件。当前仓库在 /mnt/c/Users/HP/Desktop/DH。背景：目标是安全迁移 E:\Signal_processing\GPU_Test 的 FFT/GPU 分析和 FFT 后 3D 视图能力到 DH，要求独立异步分析、FFT result bus、可关闭 3D、完整性能日志且不影响 TDMS 存储和实时曲线帧率,019e581d-18d9-7933-8850-ac529d16ce2c 019e56a8-3258-70a0-be5a-3ec04851a2bf 019e5517-5fb6-7bb3-9147-67b91050580e 019e54c2-f2c0-70b0-87f0-3bca31ee015a
G027,4,DH/DHPA,Scene/reference research,UE/Fab/scene/rendering,建议删除/另存：非 MoSim 子任务归档,工作区：/mnt/c/Users/HP/Desktop/DH。只读审查，不要修改文件。项目背景：正在把 E:\Signal_processing\GPU_Test 的 FFT/GPU 分析和 FFT 后 3D 视图安全迁移到 DH；目前 FFT analysis tap 已通过 SdkTdmsCaptureWriter.SetAnalysisRawBlock,019e585b-e3e2-7a20-94d0-2ca6cef721b7 019e5710-7455-7f92-b1b4-8c4c08ddb237 019e5612-034b-7d51-9305-39c71f4ebd11 019e5496-27be-7073-a8c3-4408fdb8bdc3
G028,3,DH/DHPA,Session memory/backlog,Docs/skills/workflow,建议删除/另存：非 MoSim 子任务归档,"你现在文件存储的目录都是有问题的：应该是存储到这个大目录 C:\Users\HP\Desktop\DH\data 此外，你先好好熟悉一下我们的项目，我们现在是在做这个架构的重构，目前是在做TDMS的直接保存，但是之前遇到了一些问题，因为之前发现写盘速度有问题，换了块硬盘。重装了系统，聊天记录没了，所以需要你重新回顾一下，继续我们的工作 ""C:\Users\H",019e587b-0843-7520-9538-98f0ced3f9cc 019e587a-9d07-7331-ad95-52ab54bc498b 019e5405-b416-7a22-8784-d2a7d42dbd3b
G029,3,DH/DHPA,UE S0/S1 renderer,Git/integration,建议删除/另存：非 MoSim 子任务归档,我这次已经git完成了，你可以写一份AGENTS.md到根目录，把我们目前需要注意的事情写进去，避免下次聊天记录没了，你也能快速上手项目，比如需要测试叫我，没问题就分步推进，每次做一个小修改并完成git这种，我希望这样可以让我们的项目更加高效 [14] user: # Context from my IDE setup: ## Open tabs: - .c,019df629-ebd2-78d2-a031-b32e79d0ebbf 019ded4f-54b8-7bf1-8371-fa550870fa6c 019de2ae-24e0-7d93-b2f7-bc85d3cafc85
G030,2,DH/DHPA,Docs/workflow/skills,UE/Fab/scene/rendering,建议删除/另存：非 MoSim 子任务归档,只读审查，不要修改文件。目标仓库 /mnt/c/Users/HP/Desktop/DH。请聚焦 source coverage 门控、FFT tap 与 TDMS/曲线隔离风险：阅读 docs/GPU_Test解耦处理项目迁移计划.md、SdkTdmsCaptureWriter 中 analysis tap 相关代码、RealtimeAnalysisServ,019e587c-1bc0-7283-818f-6cc896275168 019e56f6-144f-7352-9be2-51ae3770ae42
G031,2,DH/DHPA,Parameters/model ID,Review/test/quality,建议删除/另存：非 MoSim 子任务归档,只读审查，不要修改文件。目标仓库 /mnt/c/Users/HP/Desktop/DH。请重点检查 run_realtime_fft_validation.bat 和 audit_realtime_fft_validation.bat：默认是否会启动/允许 HTTP 3D server，是否默认使用嵌入式 3D，是否传入 stop drained / spe,019e587b-71cd-7820-a20b-cdc1c012d303 019e587b-35b1-7cb1-a51b-bb8eccc3822c
G032,1,DH/DHPA,DH TDMS/GPU/FFT,Review/test/quality,建议删除/另存：非 MoSim 子任务归档,你在 /mnt/c/Users/HP/Desktop/DH。请只做代码审查，不要修改文件。目标：审查 FFT result bus、3D 视图、sidecar/pyramid 与现有实时曲线/TDMS 存储的隔离性。重点文件：src/DH.Client.App/ViewModels/MainWindowViewModel.cs、src/DH.Client.A,019e590d-de2b-7242-96a2-bf19a8b63b25
G033,1,DH/DHPA,Scene/reference research,Review/test/quality,建议删除/另存：非 MoSim 子任务归档,你在 /mnt/c/Users/HP/Desktop/DH。请只做代码审查，不要修改文件。目标：审查当前从 E:\Signal_processing\GPU_Test 迁移到 DH 的 CUDA FFT/interleaved strided 路径是否存在明显正确性或性能风险。重点文件：src/DH.Client.App/Services/SignalPro,019e590d-aa96-7252-b481-05dfe32ce05b
G034,1,DH/DHPA,UE S0/S1 renderer,UE/Fab/scene/rendering,建议删除/另存：非 MoSim 子任务归档,好吧，看来还得手动git，那就继续推进吧 [43] user: # Context from my IDE setup: ## Active file: run_with_env_root.bat ## Open tabs: - run_with_env_root.bat: run_with_env_root.bat ## My request for Co,019e02b8-5613-74b1-8edb-1b01b8943b7e
